OBJECTID,CSA2010,libcard11,libcard12,libcard13,libcard14,libcard15,libcard16,libcard17,libcard18,libcard19,CSA2020,libcard20,libcard21,libcard22,Shape__Area,Shape__Length
20,Greater Govans,289.954124145679,279.000093624193,235.652092500702,379.177979589926,410.354835689542,357.176294354461,315.23265611834,327.497425334707,316.168898,Greater Govans,304.284374022725,261.8576045,261.8576045,22698495.7178955,22982.125714974
21,Greater Mondawmin,239.219051705643,233.211757133662,217.442608882214,360.866766788243,385.432310662947,337.481227204462,274.297361081313,276.550096545806,262.0682257,Greater Mondawmin,231.535077564251,195.7629081,195.7629081,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,486.512132303104,448.285210790294,359.089060593737,467.127558628169,464.416429442862,427.545072522705,366.273552934797,389.724820387691,416.2938864,Greater Roland Park/Poplar Hill,415.076204860634,422.3534258,422.3534258,56688145.1790161,39862.7497953117
23,Greater Rosemont,256.295757827509,265.22664728179,227.322290876993,399.449607975492,430.136559530609,368.554961316786,300.638662443532,299.340568046108,280.9595514,Greater Rosemont,291.012649844361,234.5188423,234.5188423,42204384.5406494,32559.0762211492
24,Greenmount East,284.94623655914,268.572825024438,228.494623655914,430.596285434995,464.320625610948,379.276637341153,325.513196480938,327.712609970674,307.42913,Oliver/Johnson Square,295.614665708124,244.5722502,244.5722502,19072287.8240967,20797.4734578598
25,Hamilton,224.427011229042,222.734963851715,192.431933548685,300.03076449777,310.490693739424,273.650207660359,227.811105983694,234.117828026457,234.8100292,Hamilton,212.331530949883,196.2714874,196.2714874,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,319.585722211947,328.648048825596,276.863325319031,437.026077307194,485.111891991862,398.372480118365,359.164046606251,363.232846310338,358.9791012,Harbor East/Little Italy,318.08235528148,298.7865526,298.7865526,10215859.0836182,18552.4075815937
27,Harford/Echodale,188.550388977968,182.730565948097,149.652592196686,250.965021675872,267.058613931943,236.059148405487,191.876002137894,193.479422768573,189.6193361,Hamilton Hills,166.990881458967,159.8784195,159.8784195,65360039.1698608,40019.1854001996
28,Highlandtown,362.068965517241,326.758620689655,278.206896551724,407.172413793103,438.620689655172,399.448275862068,367.03448275862,372.275862068966,375.1724138,Highlandtown,291.156462585034,300.9070295,300.9070295,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,141.17538857721,151.660075416168,142.738894509335,223.397406419571,242.803274165363,210.521475213832,168.858640669548,168.950611606732,158.9257795,Howard Park/West Arlington,159.066695077775,139.8891967,139.8891967,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,314.352392065344,290.781796966161,252.586542201478,380.941267989109,392.532088681446,350.75845974329,307.040062232594,322.053675612602,350.9140412,Inner Harbor/Federal Hill,301.243057392224,329.6746892,329.6746892,24995836.2615967,43415.0595478862
31,Lauraville,266.601482930009,237.513240446509,204.106575409435,341.155381732258,347.592275727206,300.822944675303,240.365028925283,246.557483907765,247.6981993,Greater Lauraville,236.577181208054,228.9826916,228.9826916,49665744.2354736,34419.676527973
32,Loch Raven,212.78819149631,213.180066618771,176.147867546209,286.460714518973,302.266344458232,262.686957089674,212.069753771798,212.91881653713,205.6691268,Loch Raven,185.791963844361,174.1402443,174.1402443,44147812.3265381,29314.3346718286
33,Madison/East End,330.805809021977,320.781390566765,270.916334661355,443.516257550443,466.5210127233,384.012337745791,352.782418712247,346.356509446087,319.8817633,Madison/East End,330.543246348268,280.1575579,280.1575579,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,328.329882677709,305.325511847251,254.830917874396,391.70692431562,404.186795491143,327.697262479871,295.606165171382,305.440533701403,323.6714976,Hampden/Remington,311.84796706705,352.6194101,352.6194101,62441489.2398071,43152.625699222
35,Midtown,386.085219707057,363.182423435419,309.920106524634,462.050599201065,470.439414114513,412.117177097203,334.886817576564,353.52862849534,408.7882823,Midtown,359.319258436166,391.4263992,391.4263992,23823949.9294434,25020.0969698082
36,Midway/Coldstream,275.249376558604,230.673316708229,207.917705735661,392.352452202826,419.887780548628,410.847880299251,320.344970906068,315.045719035744,287.8221114,Midway/Coldstream,306.100365210334,250.6424997,250.6424997,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,67.1575189647479,68.2730923694779,62.1374386434627,101.070950468541,107.206604194556,99.3975903614457,74.743418116912,83.7795626952254,81.88308791,Morrell Park/Violetville,75.0262942620077,66.61213042,66.61213042,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,268.962848297214,273.606811145511,224.264705882353,290.634674922601,295.665634674922,259.287925696594,217.492260061919,238.390092879257,270.123839,Mount Washington/Coldspring,246.804835924007,261.1398964,261.1398964,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,243.987631699496,224.461749885479,188.043976179569,258.531836921667,263.112688960146,238.605130554283,206.252863032524,222.056802565277,237.4599175,North Baltimore/Guilford/Homeland,229.603994099626,242.8798366,242.8798366,74923987.6937256,42904.2221443544
40,Northwood,272.066334194556,265.757375473172,218.890824971459,360.391756293937,376.554707684912,323.619539746439,267.860361713633,273.688637865769,259.2681608,Northwood,254.455377416913,226.1749123,226.1749123,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,313.641353158367,305.358746632073,284.901706416525,486.677976249875,539.267538169843,436.184013571499,372.81708412334,384.492565612214,371.3202275,Oldtown/Middle East,309.12179038865,270.7563193,270.7563193,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,281.458766838243,278.939875150586,251.45110064615,350.564012703975,367.867703427883,359.434892125725,321.432482751067,332.055634651188,306.4286497,Greektown/Bayview,202.83428968875,171.6223266,171.6223266,89894372.2113037,47825.8629266244
43,Patterson Park North & East,372.671661282562,333.012578184068,289.641899786927,473.434600316173,491.167777854148,408.619149082411,384.081380163585,386.143377551722,391.3671043,Patterson Park North & East,355.237430167598,345.1815642,345.1815642,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,299.338022341746,298.510550268928,261.894911046752,448.903599503517,470.831609433181,387.670666115018,321.26603227141,315.370293752586,306.681837,Penn North/Reservoir Hill,306.367690782953,272.9187314,272.9187314,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,163.083953960731,202.09884901828,213.01624915369,310.42654028436,338.185511171293,275.220040622884,233.835477318889,226.218686526743,207.5152336,Pimlico/Arlington/Hilltop,214.910409556314,193.4726962,193.4726962,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,277.624852536374,288.832088084939,238.497837200157,389.303971686984,418.993314982304,341.329138812426,288.045615414864,285.096342902084,267.0074715,Poppleton/The Terraces/Hollins Market,237.521150592217,217.2165821,217.2165821,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,276.517185821697,257.65306122449,228.450590762621,414.205155746509,442.266380236305,381.847475832438,312.5,302.161654135338,283.0961332,Sandtown-Winchester/Harlem Park,321.242047288956,249.5489507,249.5489507,23672092.8682861,20987.1433066354
48,South Baltimore,246.175460505776,210.739931314393,175.30440212301,299.719013424914,314.236653137683,297.065251326881,249.45363721511,263.659069622229,311.7389947,South Baltimore,256.82261208577,277.4122807,277.4122807,46353935.4255981,68440.02582664
49,Southeastern,173.801916932907,156.070287539936,130.191693290735,219.329073482428,239.776357827476,215.814696485623,184.664536741214,201.597444089457,199.201278,Southeastern,147.814530419374,136.1488482,136.1488482,111251478.472229,102291.480547698
50,Southern Park Heights,183.60433604336,187.518819632641,193.917494730503,318.804576934658,350.797952423968,303.146642577536,254.140319180969,257.377295995182,247.591087,Southern Park Heights,251.500938086304,208.8180113,208.8180113,27876227.5908203,24052.221372193
51,Southwest Baltimore,205.87084148728,203.35476656416,177.299412915851,296.002236511043,323.623147889292,271.176963936259,228.627341347497,225.328487559407,205.9267543,Southwest Baltimore,223.140495867769,182.9554932,182.9554932,37766068.8365479,28355.563581391
52,The Waverlies,358.957822778279,345.67264284793,270.346962466142,447.826647749258,504.449890365019,458.274216432348,403.714691087321,405.00451438153,400.4901329,The Waverlies,384.163402350308,349.8880806,349.8880806,20383750.5437012,18733.826879757
53,Upton/Druid Heights,293.656932894991,285.341326629279,253.14252562367,426.513246954167,465.673950879907,382.51788822278,315.993038097079,316.863275962096,310.6749178,Upton/Druid Heights,299.125168236878,258.7483176,258.7483176,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,318.916954388515,301.835362529529,271.669998182809,422.496819916409,446.302017081591,370.343449027803,319.280392513174,329.820098128294,331.0921316,Pigtown/Carroll Park,308.730005781461,298.7088071,298.7088071,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,155.499367888748,149.318724539963,133.445708666948,246.382918949291,267.734232336002,229.526618907149,181.34569462003,185.98117713162,176.2888046,Westport/Mount Winans/Lakeland,140.093870004267,101.5502773,101.5502773,45494092.9501953,42573.1244161851
